,date,pm2.5,pm10,o3,no2
451,2020-12-13,26.0,14.0,25.0,12.0
452,2020-12-14,29.0,14.0,20.0,16.0
453,2020-12-15,28.0,11.0,22.0,14.0
454,2020-12-16,25.0,12.0,20.0,10.0
455,2020-12-17,22.0,11.0,20.0,4.0
456,2020-12-18,19.0,13.0,23.0,4.0
457,2020-12-19,31.0,10.0,24.0,6.0
458,2020-12-20,19.0,5.0,22.0,6.0
459,2020-12-21,12.0,12.0,20.0,19.0
460,2020-12-22,31.0,7.0,22.0,10.0
461,2020-12-23,17.0,7.0,23.0,8.0
462,2020-12-24,17.0,9.0,20.0,13.0
463,2020-12-25,30.0,5.0,28.0,5.0
464,2020-12-26,18.0,9.0,28.0,11.0
465,2020-12-27,22.0,13.0,15.0,15.0
466,2020-12-28,45.0,15.0,13.0,17.0
467,2020-12-29,56.0,15.0,6.0,27.0
468,2020-12-30,44.0,17.0,12.0,17.0
469,2020-12-31,60.0,22.0,8.0,22.0
470,2021-01-01,68.0,19.0,11.0,13.0
471,2021-01-02,33.0,15.0,12.0,10.0
472,2021-01-03,37.0,15.0,16.0,8.0
473,2020-07-01,16.0,8.0,16.0,9.0
474,2020-07-02,20.0,11.0,23.0,5.0
475,2020-07-03,22.0,7.0,16.0,3.0
476,2020-07-04,17.0,12.0,20.0,3.0
477,2020-07-05,20.0,12.0,18.0,9.0
478,2020-07-06,25.0,11.0,22.0,10.0
479,2020-07-07,27.0,7.0,10.0,9.0
480,2020-07-08,19.0,8.0,12.0,5.0
481,2020-07-09,20.0,8.0,15.0,10.0
482,2020-07-10,20.0,9.0,19.0,10.0
483,2020-07-11,30.0,13.0,36.0,10.0
484,2020-07-12,42.0,10.0,22.0,10.0
485,2020-07-13,28.0,9.0,17.0,9.0
486,2020-07-14,34.0,9.0,12.0,13.0
487,2020-07-15,34.0,8.0,12.0,10.0
488,2020-07-16,32.0,14.0,18.0,13.0
489,2020-07-17,38.0,9.0,15.0,9.0
490,2020-07-18,41.0,7.0,18.0,8.0
491,2020-07-19,34.0,11.0,24.0,7.0
492,2020-07-20,35.0,8.0,24.0,10.0
493,2020-07-21,32.0,2.0,37.0,6.0
494,2020-07-22,15.0,2.0,35.0,6.0
495,2020-07-23,6.0,15.0,19.0,6.0
496,2020-07-27,28.0,9.0,14.0,9.0
497,2020-07-28,22.0,10.0,24.0,9.0
498,2020-07-29,26.0,13.0,32.0,10.0
499,2020-07-30,34.0,27.0,46.0,16.0
500,2020-07-31,60.0,10.0,18.0,4.0
501,2020-08-01,35.0,9.0,21.0,4.0
502,2020-08-02,30.0,7.0,17.0,8.0
503,2020-08-03,25.0,15.0,25.0,7.0
504,2020-08-04,29.0,13.0,25.0,3.0
505,2020-08-05,18.0,10.0,22.0,5.0
506,2020-08-06,21.0,25.0,45.0,21.0
507,2020-08-07,45.0,33.0,42.0,19.0
508,2020-08-08,56.0,28.0,50.0,7.0
509,2020-08-09,60.0,34.0,55.0,11.0
510,2020-08-10,60.0,40.0,66.0,16.0
511,2020-08-11,82.0,46.0,70.0,16.0
512,2020-08-12,96.0,29.0,42.0,10.0
513,2020-08-13,68.0,15.0,24.0,11.0
514,2020-08-14,43.0,14.0,13.0,10.0
515,2020-08-15,33.0,16.0,27.0,8.0
516,2020-08-16,46.0,9.0,19.0,17.0
517,2020-08-17,21.0,9.0,18.0,4.0
518,2020-08-18,9.0,8.0,12.0,7.0
