date, pm25, pm10, no2
2017/9/22, 54, 18, 42
2017/9/23, 53, 27, 39
2017/9/24, 80, 41, 44
2017/9/25, 114, 36, 40
2017/9/26, 100, 44, 47
2017/9/27, 126, 20, 52
2017/9/28, 59, 23, 49
2017/9/29, 62, 17, 47
2017/9/30, 48, 11, 30
2017/4/1, 45, 15, 26
2017/4/2, 46, 27, 55
2017/4/3, 71, 20, 29
2017/4/4, 58, 14, 21
2017/4/5, 35, 24, 40
2017/4/6, 59, 24, 38
2017/4/7, 67, 41, 67
2017/4/8, 97, 37, 46
2017/4/9, 91, 14, 15
2017/4/10, 35, 14, 28
2017/4/11, 33, 15, 29
2017/4/12, 38, 11, 21
2017/4/13, 27, 13, 32
2017/4/14, 36, 8, 13
2017/4/15, 23, 9, 19
2017/4/16, 24, 10, 23
2017/4/17, 26, 14, 33
2017/4/18, 30, 23, 55
2017/4/19, 53, 22, 46
2017/4/20, 55, 20, 27
2017/4/21, 52, 16, 27
2017/4/22, 47, 18, 31
2017/4/23, 45, 18, 30
2017/4/24, 48, 10, 18
2017/4/25, 25, 13, 26
2017/4/26, 36, 16, 34
2017/4/27, 46, 17, 28
2017/4/28, 50, 21, 46
2017/4/29, 54, 22, 28
2017/4/30, 57, 12, 29
2017/5/1, 29, 27, 34
2017/5/2, 61, 25, 29
2017/5/3, 60, 29, 36
2017/5/4, 66, 21, 36
2017/5/5, 45, 28, 27
2017/5/6, 78, 21, 18
2017/5/7, 62, 21, 24
2017/5/8, 46, 22, 34
2017/5/9, 48, 25, 42
2017/5/10, 53, 42, 52
2017/5/11, 97, 27, 48
2017/5/12, 71, 22, 48
2017/5/13, 59, 15, 32
2017/5/14, 37, 19, 46
2017/5/15, 47, 19, 40
2017/5/16, 49, 17, 36
2017/5/17, 50, 15, 34
2017/5/18, 44, 12, 31
2017/5/19, 37, 16, 47
2017/5/20, 43, 17, 42
2017/5/21, 42, 26, 51
2017/5/22, 64, 16, 31
2017/5/23, 42, 20, 43
2017/5/24, 57, 24, 54
2017/5/25, 62, 26, 48
2017/5/26, 59, 22, 47
2017/5/27, 56, 16, 36
2017/5/28, 47, 21, 37
2017/5/29, 53, 13, 34
2017/5/30, 38, 17, 38
2017/5/31, 48, 21, 51
2017/6/1, 57, 25, 49
2017/6/2, 68, 12, 24
2017/6/3, 33, 13, 32
2017/6/4, 29, 17, 39
2017/6/5, 38, 11, 31
2017/6/6, 31, 13, 33
2017/6/7, 30, 18, 45
2017/6/8, 47, 18, 38
2017/6/9, 43, 18, 32
2017/6/10, 44, 14, 26
2017/6/11, 38, 14, 27
2017/6/12, 32, 19, 32
2017/6/13, 49, 25, 44
2017/6/14, 59, 22, 35
2017/6/15, 51, 16, 21
2017/6/16, 40, 21, 30
2017/6/17, 59, 27, 44
2017/6/18, 74, 33, 62
2017/6/19, 85, 33, 55
2017/6/20, 83, 38, 57
2017/6/21, 85, 19, 34
2017/6/22, 36, 15, 33
2017/6/23, 33, 14, 33
2017/6/24, 40, 10, 22
2017/6/25, 26, 16, 34
2017/6/26, 38, 26, 42
2017/6/27, 59, 12, 21
2017/6/28, 42, 12, 31
2017/6/29, 36, 11, 21
2017/6/30, 33, 13, 20
2017/1/2, 25, 20, 44
2017/1/3, 51, 15, 32
2017/1/4, 30, 32, 54
2017/1/5, 64, 40, 72
2017/1/6, 88, 14, 34
2017/1/7, 49, 21, 41
2017/1/8, 66, 17, 45
2017/1/9, 54, 19, 39
2017/1/10, 43, 16, 30
2017/1/11, 37, 16, 40
2017/1/12, 37, 10, 22
2017/1/13, 23, 12, 32
2017/1/14, 35, 10, 31
2017/1/15, 38, 22, 50
2017/1/16, 67, 33, 58
2017/1/17, 84, 43, 71
2017/1/18, 102, 43, 61
2017/1/19, 109, 38, 58
2017/1/20, 86, 41, 52
2017/1/21, 91, 57, 63
2017/1/22, 153, 66, 68
2017/1/23, 167, 46, 66
2017/1/24, 130, 38, 62
2017/1/25, 107, 53, 43
2017/1/26, 126, 46, 46
2017/1/27, 119, 25, 44
2017/1/28, 54, 14, 41
2017/1/29, 36, 19, 35
2017/1/30, 52, 24, 37
2017/1/31, 66, 20, 42
2017/2/1, 57, 20, 37
2017/2/2, 49, 23, 47
2017/2/3, 40, 28, 64
2017/2/4, 57, 20, 38
2017/2/5, 59, 35, 52
2017/2/6, 82, 22, 49
2017/2/7, 50, 31, 42
2017/2/8, 79, 38, 52
2017/2/9, 94, 40, 41
2017/2/10, 110, 35, 32
2017/2/11, 103, 41, 35
2017/2/12, 116, 49, 33
2017/2/13, 123, 41, 42
2017/2/14, 93, 27, 48
2017/2/15, 73, 26, 49
2017/2/16, 53, 30, 49
2017/2/17, 69, 30, 48
2017/2/18, 80, 20, 40
2017/2/19, 55, 18, 33
2017/2/20, 50, 13, 35
2017/2/21, 43, 12, 35
2017/2/22, 35, 11, 23
2017/2/23, 23, 15, 35
2017/2/24, 31, 18, 39
2017/2/25, 38, 11, 32
2017/2/26, 24, 11, 41
2017/2/27, 33, 14, 37
2017/2/28, 32, 22, 49
2017/3/1, 44, 21, 42
2017/3/2, 38, 29, 45
2017/3/3, 55, 18, 44
2017/3/4, 36, 11, 31
2017/3/5, 26, 14, 29
2017/3/6, 32, 16, 40
2017/3/7, 38, 16, 45
2017/3/8, 37, 14, 37
2017/3/9, 33, 24, 54
2017/3/10, 59, 31, 49
2017/3/11, 79, 25, 36
2017/3/12, 73, 15, 30
2017/3/13, 35, 17, 38
2017/3/14, 47, 25, 48
2017/3/15, 64, 26, 42
2017/3/16, 70, 13, 35
2017/3/17, 34, 10, 28
2017/3/18, 35, 11, 26
2017/3/19, 27, 15, 39
2017/3/20, 37, 17, 37
2017/3/21, 36, 20, 42
2017/3/22, 46, 28, 41
2017/3/23, 72, 33, 37
2017/3/24, 81, 19, 39
2017/3/25, 51, 14, 31
2017/3/26, 33, 40, 38
2017/3/27, 102, 40, 44
2017/3/28, 99, 21, 45
2017/3/29, 49, 24, 55
2017/3/30, 56, 22, 56
2017/3/31, 53, 18, 48
2016/10/4, 61, 22, 36
