date, pm25, pm10, o3, no2, so2, co
2014/10/4, 53, 20, 5, 32, 2, 4
2014/10/5, 51, 22, 8, 35, 2, 4
2014/10/6, 53, 26, 3, 45, 4, 6
2014/10/7, 61, 25, 3, 41, 4, 5
2014/10/8, 59, 26, 8, 32, 2, 1
2014/10/9, 55, 24, 7, 36, 3, 7
2014/10/10, 55, 22, 6, 40, 3, 4
2014/10/11, 57, 18, 19, 25, 2, 2
2014/10/12, 49, 13, 21, 25, 3, 4
2014/10/13, 17, 11, 6, 29, 3, 4
2014/10/14, 55, 8, 7, 31, 2, 3
2014/10/15, 78, 45, 4, 54, 5, 6
2014/10/16, 82, 32, 6, 43, 4, 5
2014/10/17, 61, 25, 8, 34, 2, 4
2014/10/18, 54, 26, 6, 36, 2, 3
2014/10/19, 51, 27, 7, 43, 4, 5
2014/10/20, 61, 14, 15, 26, 1, 1
2014/10/21, 33, 25, 10, 35, 2, 3
2014/10/22, 53, 28, , , , 
2014/10/23, 61, 29, , , , 
2014/10/24, 67, 24, , , , 
2014/10/25, 59, 20, , , , 
2014/10/26, 47, 24, , , , 
2014/10/27, 56, 32, , , , 
2014/10/28, 73, 21, , , , 
2014/10/29, 53, 48, , , , 
2014/10/30, 112, 42, , , , 
2014/10/31, 91, 32, , , , 
2014/11/1, 65, 24, , , , 
2014/11/2, 48, 21, , , , 
2014/11/3, 54, 22, , , , 
2014/11/4, 53, 22, , , , 
2014/11/5, 59, 44, , , , 
2014/11/6, 102, 21, , , , 
2014/11/7, 53, 24, , , , 
2014/11/8, 58, 29, , , , 
2014/11/9, 77, 22, , , , 
2014/11/10, 63, 18, , , , 
2014/11/11, 49, 15, , , , 
2014/11/12, 53, 27, , , , 
2014/11/13, 48, 28, , , , 
2014/11/14, 60, 28, , , , 
2014/11/15, 70, 22, , , , 
2014/11/16, 65, 18, , , , 
2014/11/17, 53, 21, , , , 
2014/11/18, 57, 42, , , , 
2014/11/19, 107, 45, , , , 
2014/11/20, 104, 45, , , , 
2014/11/21, 110, 40, , , , 
2014/11/22, 92, 13, , , , 
2014/11/23, 37, 29, , , , 
2014/11/24, 66, 24, , , , 
2014/11/25, 61, 27, 4, 22, 4, 7
2014/11/26, 75, 33, 4, 36, 7, 12
2014/11/27, 86, 35, 1, 28, 5, 11
2014/11/28, 83, 42, 2, 28, 5, 12
2014/11/29, 99, 31, 6, 15, 3, 11
2014/11/30, 80, 24, 8, 16, 1, 7
2014/12/1, 67, 17, 16, 22, 1, 7
2014/12/2, 45, 14, 15, 21, , 6
2014/12/3, 31, 22, 12, 26, 2, 5
2014/12/4, 62, 28, 5, 33, 3, 1
2014/12/5, 70, 34, 2, 48, 4, 
2014/12/6, 80, 18, 6, 35, 2, 
2014/12/7, 44, 19, 7, 36, 2, 
2014/12/8, 43, 27, 6, 49, 5, 
2014/12/9, 59, 27, 11, 53, 5, 
2014/12/10, 55, 23, 7, 48, 4, 
2014/12/11, 52, 21, 10, 49, 5, 
2014/12/12, 49, 29, 2, 44, 5, 
2014/12/13, 68, 24, 6, 38, 4, 
2014/12/14, 57, 29, 5, 59, 7, 
2014/12/15, 60, 34, 1, 55, 7, 4
2014/12/16, 77, 23, 6, 47, 6, 2
2014/12/17, 54, 18, 6, 43, 5, 1
2014/12/18, 47, 17, 8, 46, 3, 7
2014/12/19, 40, 17, 4, 45, 3, 6
2014/12/20, 45, 15, 7, 46, 3, 7
2014/12/21, 40, 17, 10, 45, 4, 6
2014/12/22, 40, 16, 11, 46, 4, 6
2014/12/23, 40, 10, 13, 31, 2, 5
2014/12/24, 24, 14, 2, 28, 1, 6
2014/12/25, 34, 17, 2, 39, 3, 7
2014/12/26, 49, 8, 17, 17, 1, 5
2014/12/27, 27, 14, 12, 20, , 6
2014/12/28, 35, , , , , 
2014/7/1, 46, 22, 6, 52, 5, 5
2014/7/2, 58, 22, 7, 67, 6, 5
2014/7/3, 66, 22, 6, 58, 6, 5
2014/7/4, 62, 21, 3, 37, 6, 5
2014/7/5, 59, 18, 5, 40, 5, 4
2014/7/6, 51, 15, 3, 40, 5, 4
2014/7/7, 47, 12, 8, 34, 4, 3
2014/7/8, 44, 13, 18, 23, 1, 1
2014/7/9, 38, 11, 16, 24, 2, 1
2014/7/10, 32, 14, 12, 26, 3, 2
2014/7/11, 40, 19, 13, 33, 3, 3
2014/7/12, 58, 13, 16, 26, 4, 3
2014/7/13, 42, 13, 10, 36, 3, 3
2014/7/14, 37, 16, 7, 36, 4, 3
2014/7/15, 47, 23, 3, 49, 5, 4
2014/7/16, 61, 18, 8, 42, 5, 3
2014/7/17, 48, 29, 13, 59, 4, 
2014/7/18, 79, 24, 14, 44, 4, 
2014/7/19, 65, 22, 17, 24, 3, 
2014/7/20, 63, 16, 21, 17, 2, 2
2014/7/21, 54, 12, 22, 14, 1, 2
2014/7/22, 41, 17, 25, 22, 1, 2
2014/7/23, 53, 17, 22, 9, 1, 1
2014/7/24, 52, , 12, 37, 2, 4
2014/7/31, 76, 25, 11, 49, 6, 6
2014/8/1, 73, 18, 12, 32, 4, 5
2014/8/2, 60, 15, 13, 32, 4, 4
2014/8/3, 50, 18, 10, 39, 5, 5
2014/8/4, 56, 20, 9, 41, 5, 5
2014/8/5, 62, 19, 10, 38, 4, 5
2014/8/6, 58, 15, 17, 31, 4, 4
2014/8/7, 52, 24, 16, 37, 5, 5
2014/8/8, 73, 21, 9, 31, 5, 5
2014/8/9, 64, , , , , 
2014/8/11, 60, 19, 12, 43, 5, 5
2014/8/12, 57, 12, 10, 27, 3, 3
2014/8/13, 37, 19, 3, 54, 6, 5
2014/8/14, 61, 11, 11, 23, 3, 2
2014/8/15, 37, 11, 7, 33, 3, 2
2014/8/16, 39, 12, 3, 58, 4, 6
2014/8/17, 42, 10, 8, 29, 3, 2
2014/8/18, 34, 8, 10, 27, 2, 2
2014/8/19, 24, 9, 9, 29, 3, 2
2014/8/20, 33, 17, 4, 48, 5, 5
2014/8/21, 57, 10, 10, 32, 4, 2
2014/8/22, 36, 8, 12, 28, 2, 2
2014/8/23, 31, 14, 6, 39, 3, 3
2014/8/24, 50, 14, 8, 32, 4, 3
2014/8/25, 45, 12, 19, 24, 3, 2
2014/8/26, 44, 16, 10, 22, 2, 1
2014/8/27, 52, 15, , , , 
2014/8/28, 46, , , , , 
2014/8/31, 35, 22, 1, 44, 4, 7
2014/9/1, 70, 16, 7, 32, 1, 5
2014/9/2, 55, 24, 13, 33, 1, 4
2014/9/3, 78, 26, 11, 29, , 4
2014/9/4, 79, 32, 13, 32, , 4
2014/9/5, 97, 42, 8, 35, , 5
2014/9/6, 124, 28, 13, 24, , 4
2014/9/7, 91, 23, 10, 32, , 5
2014/9/8, 73, 22, 8, 42, , 6
2014/9/9, 75, 18, 5, 39, 2, 7
2014/9/10, 63, 24, 9, 24, , 6
2014/9/11, 83, 22, 8, 31, 1, 6
2014/9/12, 67, , , , , 
2014/9/13, 56, , , , , 1
2014/9/14, 56, 15, 6, 40, 2, 2
2014/9/15, 49, , 10, 36, 2, 2
2014/9/19, 87, 32, 16, 11, , 7
2014/9/20, 85, 14, 22, 7, , 6
2014/9/21, 38, 28, 16, 15, 2, 6
2014/9/22, 69, , , , , 
2014/9/24, 36, 33, 4, 48, 4, 6
2014/9/25, 66, 27, 4, 44, 4, 6
2014/9/26, 62, 24, 4, 27, 2, 4
2014/9/27, 57, 33, 6, 29, 2, 5
2014/9/28, 82, 48, 4, 43, 5, 7
2014/9/29, 109, 42, 6, 53, 4, 6
2014/9/30, 92, 34, 5, 36, 3, 4
2014/4/1, 111, 61, 5, 46, 5, 5
2014/4/2, 140, 65, 5, 24, 4, 4
2014/4/3, 150, 29, 6, 51, 8, 5
2014/4/4, 74, 20, 8, 29, 4, 3
2014/4/5, 54, 15, 10, 18, 4, 
2014/4/6, 45, 17, 10, 29, 5, 
2014/4/7, 47, 16, 15, 31, 4, 3
2014/4/8, 39, 28, 7, 42, 6, 
2014/4/9, 62, 22, 13, 35, 5, 1
2014/4/10, 52, 20, 20, 19, 2, 3
2014/4/11, 43, 29, 9, 39, 5, 7
2014/4/12, 69, 18, 20, 21, 3, 4
2014/4/13, 44, 15, 19, 21, 2, 3
2014/4/14, 36, 16, 18, 32, 2, 5
2014/4/15, 36, 30, 9, 57, 4, 9
2014/4/16, 61, 33, 16, 48, 5, 8
2014/4/17, 71, 12, 23, 17, 1, 7
2014/4/18, 22, 13, 22, 22, 1, 7
2014/4/19, 31, 42, 20, 22, 2, 9
2014/4/20, 108, 37, 17, 34, 3, 9
2014/4/21, 94, 31, 14, 47, 5, 10
2014/4/22, 74, 27, 9, 53, 5, 10
2014/4/23, 67, 23, 7, 50, 6, 10
2014/4/24, 59, 29, 15, 32, 4, 10
2014/4/25, 79, 22, 10, 42, 4, 9
2014/4/26, 54, 15, 14, 37, 3, 8
2014/4/27, 41, 29, 12, 35, 3, 8
2014/4/28, 76, 39, 9, 45, 4, 9
2014/4/29, 95, 39, 7, 63, 7, 9
2014/4/30, 99, 29, 10, 50, 6, 6
